,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
2074,2021-03-24 15:27,Maria Becerra,High (Remix),31765,High (Remix):Maria Becerra,31.76,0,
2075,2021-03-25 15:47,Fito Paez,Al Lado del Camino (En Vivo),300653,Al Lado del Camino (En Vivo):Fito Paez,300.65,1,4mQ7d1rhg4lyGVyEpXZzW5
2076,2021-03-25 15:51,Fito Paez,La Rueda Mágica - En Vivo,247613,La Rueda Mágica - En Vivo:Fito Paez,247.61,1,4lhtqmdz80xSAKWMwDUcuK
2077,2021-03-25 15:55,Luis Alberto Spinetta,Quedándote O Yéndote,209160,Quedándote O Yéndote:Luis Alberto Spinetta,209.16,1,5gUxsVRhWljyJz7pYakRL4
2078,2021-03-25 15:59,No Te Va Gustar,De Nada Sirve,237866,De Nada Sirve:No Te Va Gustar,237.87,1,2CFDPiNUxcSOqfQtUHYNxF
2079,2021-03-25 16:02,Intoxicados,Las cosas que no se tocan,214089,Las cosas que no se tocan:Intoxicados,214.09,1,5Y3T9zncw2XDAcn9pFliKT
2080,2021-03-25 16:16,Calle 13,Adentro,17064,Adentro:Calle 13,17.06,1,5NOtC9vnvCuEy6IaNflffX
2081,2021-03-25 18:49,Zeballos,"Piedra, Papel o Tijera",2998,"Piedra, Papel o Tijera:Zeballos",3.0,0,6Ao6cvOVF6DsI7Pl0LiiZ5
2083,2021-03-25 18:52,WOS,ALGO DEL VACÍO,168593,ALGO DEL VACÍO:WOS,168.59,0,1dKjLvlAPTPlhRCFyA84Z9
2084,2021-03-25 18:55,WOS,FREESTYLE - Live Set,203547,FREESTYLE - Live Set:WOS,203.55,1,0WYcVMr4ekWawPKIL2JDZd
2085,2021-03-25 19:01,Rusherking,Además de Mí - Remix,330040,Además de Mí - Remix:Rusherking,330.04,0,
2086,2021-03-25 19:04,Los Buenos Modales,Classico,210691,Classico:Los Buenos Modales,210.69,0,
2087,2021-03-25 19:08,Dostrescinco,Momento de Swing,242510,Momento de Swing:Dostrescinco,242.51,0,
2088,2021-03-25 19:09,Trueno,Sangría - con WOS,42795,Sangría - con WOS:Trueno,42.8,0,51aMyZzlIOitdIA4vyF0JO
2089,2021-03-25 19:12,Tiago PZK,Sola - Neuen Live Sessions - En Vivo,196581,Sola - Neuen Live Sessions - En Vivo:Tiago PZK,196.58,0,4P1T0qUkqIVuByWA8i1SQV
2090,2021-03-25 19:16,No Te Va Gustar,Venganza,202376,Venganza:No Te Va Gustar,202.38,0,0QBMEboyu2DxFTKGbI5nl7
2091,2021-03-25 19:19,Rochy RD,Ella No Es Tuya - Remix,218106,Ella No Es Tuya - Remix:Rochy RD,218.11,0,5YYW3yRktprLRr47WK219Y
