,track_uri,artist_uri,genres
400,07teadPIKom0bfxlo1ATAj,0h1zs4CTlU9D2QtgPxptUD,latin pop
400,07teadPIKom0bfxlo1ATAj,0h1zs4CTlU9D2QtgPxptUD,rock en espanol
401,0nWdzerefBQpTFg8gIbCjA,7f4QZ3v32jtmstrh7VHfJL,argentine indie
401,0nWdzerefBQpTFg8gIbCjA,7f4QZ3v32jtmstrh7VHfJL,latin funk
401,0nWdzerefBQpTFg8gIbCjA,7f4QZ3v32jtmstrh7VHfJL,rap conciencia
402,0ULo6x1C6YUHz0hOSCH2wa,1hE5imhaIrCEKoHLHW9aCO,argentine alternative rock
402,0ULo6x1C6YUHz0hOSCH2wa,1hE5imhaIrCEKoHLHW9aCO,argentine indie
403,0AvfftiaGyfpZMk0yukvYP,3tAICgiSR5PfYY4B8qsoAU,argentine rock
403,0AvfftiaGyfpZMk0yukvYP,3tAICgiSR5PfYY4B8qsoAU,cantautor
403,0AvfftiaGyfpZMk0yukvYP,3tAICgiSR5PfYY4B8qsoAU,latin alternative
403,0AvfftiaGyfpZMk0yukvYP,3tAICgiSR5PfYY4B8qsoAU,latin rock
403,0AvfftiaGyfpZMk0yukvYP,3tAICgiSR5PfYY4B8qsoAU,pop argentino
403,0AvfftiaGyfpZMk0yukvYP,3tAICgiSR5PfYY4B8qsoAU,rock en espanol
404,3n3Ppam7vgaVa1iaRUc9Lp,0C0XlULifJtAgn6ZNCW2eu,alternative rock
404,3n3Ppam7vgaVa1iaRUc9Lp,0C0XlULifJtAgn6ZNCW2eu,dance rock
404,3n3Ppam7vgaVa1iaRUc9Lp,0C0XlULifJtAgn6ZNCW2eu,modern rock
404,3n3Ppam7vgaVa1iaRUc9Lp,0C0XlULifJtAgn6ZNCW2eu,permanent wave
404,3n3Ppam7vgaVa1iaRUc9Lp,0C0XlULifJtAgn6ZNCW2eu,rock
405,4sjOSErZILpIu0cOlCFOIg,2DaxqgrOhkeH0fpeiQq2f4,beatlesque
405,4sjOSErZILpIu0cOlCFOIg,2DaxqgrOhkeH0fpeiQq2f4,britpop
405,4sjOSErZILpIu0cOlCFOIg,2DaxqgrOhkeH0fpeiQq2f4,madchester
405,4sjOSErZILpIu0cOlCFOIg,2DaxqgrOhkeH0fpeiQq2f4,permanent wave
405,4sjOSErZILpIu0cOlCFOIg,2DaxqgrOhkeH0fpeiQq2f4,rock
406,697880g2T89UMAbnmj426Y,3w9xEAItKEIFjQoR88mtsO,argentine indie
406,697880g2T89UMAbnmj426Y,3w9xEAItKEIFjQoR88mtsO,indie folk argentino
407,0rL9XFxw3b9bRUqApteFiD,2wjmZuSHtRx96Qxb8HiP2o,argentine rock
407,0rL9XFxw3b9bRUqApteFiD,2wjmZuSHtRx96Qxb8HiP2o,latin alternative
407,0rL9XFxw3b9bRUqApteFiD,2wjmZuSHtRx96Qxb8HiP2o,latin rock
407,0rL9XFxw3b9bRUqApteFiD,2wjmZuSHtRx96Qxb8HiP2o,rock en espanol
407,0rL9XFxw3b9bRUqApteFiD,2wjmZuSHtRx96Qxb8HiP2o,rock nacional
408,2jnhaQ0a9ClHdvrHiO794T,2FFrhWZS9vJsh2UvxYPRr6,argentine rock
